"notebook_id","title","topic","n_added","n_failed"
"f63a6931-c7aa-4a01-a1fb-f652f509a871","LC/MECFS: Biomarkers","biomarkers",13,1
"34c4baa0-7da4-43a9-932d-9bca3b7051ae","LC/MECFS: Systematic Reviews","systematic_reviews",16,0
"44bde960-d986-44c6-b242-2a963de394f5","LC/MECFS: Outcomes & Trajectories","outcomes",19,0
"9382811b-a646-4c83-b064-bc34dab8d9b2","LC/MECFS: Biomedical Treatments (Part 1)","treatment_biomedical",46,3
"67d11c5c-9b36-45d2-87b4-e28fb2dc325d","LC/MECFS: Biomedical Treatments (Part 2)","treatment_biomedical",10,1
"acf48d5b-952f-4838-a063-5c575b9132df","LC/MECFS: CBT & Psychological Treatments (Part 1)","treatment_cbt_psych",48,0
"0863a12e-5801-4101-9cd6-3a59aa1767a9","LC/MECFS: CBT & Psychological Treatments (Part 2)","treatment_cbt_psych",47,2
"9b89c593-8463-4603-ba01-157575062308","LC/MECFS: CBT & Psychological Treatments (Part 3)","treatment_cbt_psych",15,0
